person_id,age,gender,race,zip_code,income,credit_score,years_employed,education,loan_amount_requested,loan_approved,model_probability,model_prediction
167,42,Female,Hispanic,10003,29528.52,330.2,5.9,Bachelors,30611,0,0.0386,0
168,27,Male,Hispanic,10003,34586.58,356.6,4.7,High School,29885,0,0.0535,0
169,44,Female,White,10001,25436.55,300.0,5.2,High School,13848,0,0.1362,0
170,53,Male,Asian,10004,50704.5,488.6,16.3,PhD,15463,1,0.5586,1
171,37,Male,White,10001,69818.38,582.9,0.0,PhD,18807,1,0.582,1
172,31,Female,Black,10002,70329.07,490.3,3.0,PhD,15005,0,0.092,0
173,44,Male,White,10001,51490.48,466.1,21.7,High School,46344,1,0.6958,1
174,36,Female,Asian,10004,106777.03,660.6,11.0,Bachelors,22162,0,0.3629,0
175,39,Male,White,10001,53570.66,473.6,2.5,Masters,23219,1,0.4466,0
176,36,Female,White,10003,53605.8,425.9,7.8,Masters,35241,0,0.3806,0
177,34,Male,White,10001,106896.58,630.2,8.3,High School,40464,1,0.6295,1
178,55,Male,Asian,10004,72075.04,585.1,12.2,Masters,35966,1,0.5505,1
179,42,Male,Hispanic,10003,30751.41,361.0,17.2,High School,29803,0,0.1254,0
180,42,Male,Hispanic,10003,40276.8,504.1,9.9,Bachelors,48926,0,0.1911,0
181,52,Female,Hispanic,10003,76473.77,552.8,5.3,High School,45493,1,0.0788,0
182,37,Male,Hispanic,10003,79188.87,515.2,11.9,High School,14108,0,0.1433,0
183,23,Male,Black,10002,28396.96,415.9,4.5,High School,12201,0,0.0699,0
184,63,Male,White,10001,68981.59,551.5,2.8,PhD,22679,0,0.642,1
185,20,Male,Hispanic,10003,46163.76,463.3,0.0,Bachelors,42592,0,0.0808,0
186,48,Female,Black,10002,24330.24,397.5,0.2,Masters,48411,0,0.0547,0
187,32,Male,White,10001,68663.56,486.0,3.5,Bachelors,36618,1,0.4652,0
188,29,Female,White,10001,70127.75,518.2,2.1,Bachelors,36051,1,0.3054,0
189,20,Male,Hispanic,10003,71365.03,521.1,9.6,High School,15516,0,0.117,0
190,65,Female,White,10001,98978.2,577.6,2.0,Bachelors,31653,0,0.4078,0
191,40,Male,Asian,10004,59098.97,466.5,0.0,Bachelors,13294,0,0.1937,0
192,36,Male,White,10001,64865.12,570.0,2.8,Masters,29284,1,0.5533,1
193,57,Female,White,10001,85943.02,600.9,5.6,Masters,13718,0,0.4673,0
194,20,Female,Hispanic,10003,29955.48,300.0,5.0,Masters,8398,0,0.027,0
195,47,Female,White,10001,84127.36,503.8,15.6,Bachelors,48529,1,0.5555,1
196,44,Male,White,10003,67890.24,598.7,4.9,Bachelors,45202,1,0.6729,1
197,47,Male,Black,10002,24734.43,335.1,12.4,High School,35840,0,0.112,0
198,24,Female,Hispanic,10003,21035.92,300.0,7.9,High School,33148,0,0.027,0
199,68,Male,White,10001,104729.41,651.9,7.8,Masters,15800,1,0.7325,1
200,30,Female,White,10001,66245.88,434.9,3.8,Bachelors,30725,1,0.2556,0
201,53,Female,Hispanic,10003,83368.5,649.7,7.7,Bachelors,38664,0,0.1574,0
202,57,Female,Asian,10004,54672.73,442.0,4.2,High School,29278,0,0.1186,0
203,36,Female,Black,10002,54988.92,531.3,8.9,PhD,17687,0,0.1539,0
204,24,Female,White,10001,127424.24,760.6,6.8,PhD,22636,1,0.6837,1
205,33,Male,White,10001,44622.72,492.2,3.3,Bachelors,42844,1,0.475,0
206,60,Male,White,10001,24452.45,351.3,13.0,Masters,16460,1,0.5153,1
207,66,Female,White,10001,100878.16,692.5,10.1,Bachelors,48264,0,0.6749,1
208,67,Male,Black,10002,28156.58,389.6,5.8,Bachelors,38990,1,0.1348,0
209,29,Male,White,10001,69503.05,553.2,8.7,Masters,45061,1,0.6468,1
210,50,Male,Black,10002,33937.96,394.6,7.6,Masters,27931,0,0.1418,0
211,26,Female,Black,10002,54435.91,449.0,3.7,Masters,15068,0,0.0594,0
212,55,Female,Black,10002,25187.13,437.3,8.4,Bachelors,6527,1,0.0759,0
213,40,Female,White,10001,65681.44,461.1,4.9,Masters,29071,0,0.3226,0
214,55,Male,Hispanic,10003,54795.57,462.3,3.3,Bachelors,22959,0,0.1068,0
215,54,Male,Hispanic,10003,19800.59,320.3,0.0,High School,10115,0,0.0355,0
216,70,Male,Hispanic,10003,27197.98,369.8,6.2,High School,46788,0,0.0879,0
217,43,Male,White,10001,61662.81,468.6,10.8,Masters,48662,0,0.6273,1
218,36,Female,White,10001,35708.43,400.1,4.5,Bachelors,21825,0,0.23,0
219,45,Female,Asian,10004,56858.54,462.1,20.6,Masters,35062,1,0.3772,0
220,26,Male,White,10001,72851.12,456.6,12.4,PhD,23595,1,0.6502,1
221,23,Male,White,10001,60410.83,485.5,14.5,Masters,27356,0,0.6351,1
222,45,Male,Black,10002,41486.96,352.9,12.0,Bachelors,33078,0,0.1463,0
223,61,Female,Black,10002,47522.36,345.8,17.3,Bachelors,23739,0,0.1097,0
224,46,Female,Asian,10004,51262.16,454.6,4.1,Masters,41076,0,0.1718,0
225,59,Male,White,10001,86585.5,616.0,0.0,Masters,13520,1,0.566,1
226,27,Female,Asian,10004,101463.47,678.6,5.8,Masters,35081,0,0.3304,0
227,41,Male,White,10001,58854.87,507.0,10.8,Bachelors,49241,1,0.6361,1
228,50,Male,Black,10002,59644.76,385.3,8.8,Bachelors,43253,1,0.1506,0
229,36,Female,Black,10002,42249.19,343.0,9.4,Bachelors,7057,1,0.052,0
230,18,Male,White,10003,78771.7,658.5,14.6,Masters,10128,1,0.785,1
231,21,Male,White,10001,107578.71,624.8,9.9,High School,33293,0,0.6183,1
232,67,Female,White,10001,82207.83,604.4,12.0,Masters,46607,0,0.6437,1
233,50,Male,Asian,10004,24438.05,304.1,3.3,Masters,42981,0,0.1819,0
234,32,Female,Black,10002,58895.9,482.8,2.5,High School,45677,0,0.0553,0
235,31,Male,Asian,10004,96588.73,600.7,16.1,Masters,11737,1,0.5551,1
236,20,Male,Hispanic,10003,38681.69,424.6,8.5,Bachelors,28362,0,0.1063,0
237,68,Male,Black,10002,71895.24,538.6,4.9,Bachelors,37665,1,0.2138,0
238,23,Male,Hispanic,10003,27437.23,328.3,4.9,Masters,33114,0,0.0693,0
239,58,Male,White,10001,34347.06,326.3,4.8,Bachelors,39966,0,0.3733,0
240,30,Male,White,10001,73388.06,551.3,4.5,Bachelors,14576,1,0.505,1
241,35,Female,Hispanic,10003,15000.0,300.0,1.6,High School,25567,0,0.0182,0
242,32,Male,Hispanic,10001,38245.5,416.1,0.5,Bachelors,25158,0,0.0558,0
243,61,Male,White,10001,100884.21,781.2,7.0,Masters,47295,1,0.836,1
244,19,Male,Black,10003,15000.0,367.5,5.0,Masters,14121,0,0.1018,0
245,36,Male,Black,10002,17292.08,345.3,13.5,Bachelors,19687,0,0.1341,0
246,32,Male,Hispanic,10003,19231.23,313.0,9.5,High School,5988,0,0.0534,0
247,32,Female,Black,10002,46480.32,331.3,9.3,Bachelors,11828,1,0.05,0
248,28,Male,White,10001,61222.8,422.2,4.3,High School,49141,1,0.363,0
249,66,Female,White,10001,103579.27,725.0,7.4,Masters,43146,1,0.6786,1
250,38,Female,White,10001,92904.36,577.9,9.8,Bachelors,16661,0,0.4652,0
251,40,Male,Black,10002,59886.55,447.9,11.6,Bachelors,36593,0,0.1961,0
252,38,Male,Hispanic,10003,47495.13,424.1,7.5,Masters,31690,0,0.1245,0
253,69,Male,Black,10002,57437.51,419.8,13.4,Bachelors,45796,0,0.2394,0
254,35,Female,White,10001,49312.42,378.5,8.0,Bachelors,18511,1,0.2536,0
255,36,Male,White,10001,90573.05,605.4,12.0,Bachelors,49746,0,0.735,1
256,35,Female,Hispanic,10003,17310.94,300.0,5.6,Bachelors,21678,0,0.0302,0
257,35,Female,Hispanic,10003,64049.05,462.8,0.0,Bachelors,37259,0,0.0451,0
258,22,Female,White,10001,98467.42,601.0,9.3,High School,22899,0,0.3972,0
259,50,Male,White,10001,75060.75,570.8,11.6,Masters,35219,1,0.7181,1
260,19,Female,Black,10002,43770.89,405.6,10.9,Bachelors,20077,0,0.0706,0
261,29,Male,White,10003,79607.44,554.3,10.1,Bachelors,42949,1,0.6877,1
262,28,Male,Hispanic,10003,15000.0,329.8,6.3,High School,33683,0,0.0543,0
263,33,Male,White,10001,77254.2,546.5,4.0,Bachelors,17995,0,0.5036,1
264,58,Female,White,10004,67279.5,499.1,10.8,Bachelors,48243,1,0.6223,1
265,49,Female,Asian,10004,65784.93,530.4,10.1,Bachelors,36913,1,0.2728,0
266,70,Female,White,10001,86956.78,626.6,5.2,Bachelors,24288,1,0.4997,0
267,36,Male,White,10001,68205.55,509.4,13.5,Bachelors,11114,1,0.6126,1
268,67,Female,White,10001,42635.04,416.6,3.6,Masters,48800,0,0.329,0
269,20,Male,White,10001,66606.34,471.2,5.1,PhD,38975,0,0.5644,1
270,44,Male,White,10001,71621.33,487.6,16.2,Bachelors,35051,1,0.6835,1
271,60,Female,White,10001,72758.41,573.8,12.3,High School,42490,0,0.5072,1
272,46,Male,White,10002,73886.06,562.2,6.2,Masters,32321,1,0.619,1
273,67,Male,White,10002,94944.86,648.5,9.4,PhD,15440,1,0.799,1
274,34,Female,Black,10002,21935.17,342.3,8.8,Masters,15669,0,0.0565,0
275,19,Male,Black,10002,52216.81,453.9,0.0,High School,8558,0,0.0592,0
276,59,Male,White,10001,100958.31,685.0,3.5,Bachelors,7831,1,0.6542,1
277,21,Male,White,10001,28369.32,401.2,7.7,High School,37791,0,0.3607,0
278,58,Male,Black,10002,52311.52,497.6,6.2,Masters,43337,1,0.2113,0
279,56,Female,Hispanic,10003,29950.92,355.9,9.2,Bachelors,12376,0,0.0505,0
280,62,Female,Hispanic,10003,35102.95,451.3,13.6,Bachelors,30829,0,0.1089,0
281,43,Male,White,10001,48284.62,447.0,6.4,Bachelors,10576,0,0.4431,0
282,65,Male,White,10001,65930.78,539.1,2.7,Bachelors,23649,1,0.5332,1
283,27,Male,White,10001,114190.13,718.2,9.6,Bachelors,40583,0,0.7689,1
284,41,Female,White,10003,39653.67,412.8,6.4,High School,41539,0,0.2791,0
285,24,Female,Black,10002,19929.36,300.0,7.2,Bachelors,47694,0,0.046,0
286,58,Female,White,10001,38753.57,431.8,6.5,Masters,18976,1,0.3253,0
287,55,Male,White,10001,111458.04,835.2,19.2,Masters,47693,1,0.9319,1
288,60,Male,White,10001,58903.85,460.1,0.0,Bachelors,40263,0,0.4314,0
289,58,Male,Black,10002,47384.66,435.5,6.1,Masters,20238,0,0.1506,0
290,34,Female,White,10001,60333.21,462.4,8.0,Masters,19758,1,0.3453,0
291,21,Male,Hispanic,10003,21333.85,301.4,4.1,High School,9840,0,0.035,0
292,67,Female,White,10001,64356.38,578.3,12.5,High School,46440,1,0.5309,1
293,44,Female,Asian,10004,125997.85,718.6,12.1,Masters,14148,1,0.4623,0
294,23,Male,White,10001,103409.7,636.5,7.8,Bachelors,17058,0,0.6383,1
295,67,Male,Hispanic,10003,23529.49,300.0,6.6,High School,23581,0,0.0591,0
296,70,Male,Asian,10004,82541.78,537.3,7.4,Bachelors,11190,1,0.3854,0
297,41,Male,Asian,10004,47043.45,345.1,7.5,Bachelors,41269,0,0.2284,0
298,58,Male,Hispanic,10003,15000.0,331.6,7.6,Bachelors,36415,0,0.0933,0
299,19,Female,Hispanic,10003,68468.26,657.8,7.1,Bachelors,12048,0,0.1092,0
300,22,Male,Black,10002,75842.23,529.5,9.3,High School,12328,1,0.1426,0
301,32,Male,Hispanic,10003,69105.25,437.1,11.8,Bachelors,5989,0,0.1285,0
302,52,Female,White,10001,58723.23,523.1,1.8,Bachelors,47722,0,0.3531,0
303,25,Female,Black,10002,43997.38,381.8,2.7,High School,24610,0,0.0316,0
304,19,Male,Black,10002,65994.37,572.7,0.0,High School,34500,1,0.108,0
305,53,Female,Hispanic,10003,53395.9,442.3,12.3,Masters,11748,0,0.0915,0
306,58,Female,Black,10002,38552.7,364.4,9.3,PhD,15388,0,0.098,0
307,57,Female,White,10005,31142.28,356.9,10.5,Bachelors,29367,0,0.2698,0
308,60,Female,Black,10003,50733.0,483.5,0.9,High School,14397,0,0.0586,0
309,60,Male,White,10001,95896.23,618.2,16.9,Bachelors,32582,0,0.8071,1
310,49,Female,White,10001,41257.88,382.1,5.0,High School,46575,0,0.2196,0
311,45,Male,Black,10002,63330.23,487.0,8.8,Masters,18729,0,0.193,0
312,63,Female,White,10001,77957.0,492.9,12.3,High School,32354,1,0.4175,0
313,36,Female,White,10001,88003.56,617.3,3.1,PhD,46205,1,0.5433,1
314,23,Male,White,10001,90927.41,520.0,5.3,Bachelors,45219,0,0.5332,1
315,57,Male,White,10001,53332.83,434.0,8.9,Bachelors,5347,0,0.4856,0
316,32,Female,White,10001,31192.97,403.9,22.3,Masters,9960,0,0.4917,0
317,69,Female,White,10001,57195.53,487.1,9.5,High School,49379,0,0.4008,0
318,39,Male,Black,10002,69339.06,550.9,16.0,Masters,46643,0,0.3663,0
319,63,Female,White,10001,56991.91,467.8,14.0,High School,19486,0,0.395,0
320,20,Female,Asian,10004,50342.96,502.5,9.8,Masters,28402,0,0.2201,0
321,52,Male,Asian,10004,23287.59,380.0,3.1,Masters,30776,0,0.2153,0
322,41,Male,Black,10001,90063.54,628.1,13.3,High School,35079,1,0.3013,0
323,42,Male,White,10001,89817.13,651.2,0.5,Masters,38767,1,0.6236,1
324,32,Female,Black,10002,66477.5,547.2,16.0,High School,21779,0,0.135,0
325,69,Male,Hispanic,10003,67225.41,490.8,9.0,High School,45047,0,0.1589,0
